Date,Amount,AvgOverPop,Rise,RiseInAvgOverPopulation,RiseRelativeToDate
02-27-2020,0,0,0,0,02-26-2020
02-28-2020,0,0,0,0,02-27-2020
02-29-2020,0,0,0,0,02-28-2020
03-01-2020,0,0,0,0,02-29-2020
03-02-2020,0,0,0,0,03-01-2020
03-03-2020,0,0,0,0,03-02-2020
03-04-2020,0,0,0,0,03-03-2020
03-05-2020,0,0,0,0,03-04-2020
03-06-2020,0,0,0,0,03-05-2020
03-07-2020,0,0,0,0,03-06-2020
03-08-2020,0,0,0,0,03-07-2020
03-09-2020,0,0,0,0,03-08-2020
03-10-2020,0,0,0,0,03-09-2020
03-11-2020,0,0,0,0,03-10-2020
03-12-2020,0,0,0,0,03-11-2020
03-13-2020,0,0,0,0,03-12-2020
03-14-2020,0,0,0,0,03-13-2020
03-15-2020,0,0,0,0,03-14-2020
03-16-2020,0,0,0,0,03-15-2020
03-17-2020,0,0,0,0,03-16-2020
03-18-2020,1,2.3,1,2.3,03-17-2020
03-19-2020,3,6.9,2,4.6,03-18-2020
03-20-2020,6,13.8,3,6.9,03-19-2020
03-21-2020,8,18.5,2,4.7,03-20-2020
03-22-2020,9,20.8,1,2.3,03-21-2020
03-23-2020,10,23.1,1,2.3,03-22-2020
03-24-2020,13,30,3,6.9,03-23-2020
03-25-2020,17,39.2,4,9.2,03-24-2020
03-26-2020,20,46.2,3,7,03-25-2020
03-27-2020,21,48.2,1,2,03-26-2020
03-28-2020,26,59.6,5,11.4,03-27-2020
03-29-2020,31,71.1,5,11.5,03-28-2020
03-30-2020,37,84.9,6,13.8,03-29-2020
03-31-2020,37,84.9,0,0,03-30-2020
